file_name,correct_answer
1.png,circle
2.png,line
3.png,line
4.png,circle
5.png,line
6.png,line
7.png,circle
8.png,line
9.png,circle
10.png,line
11.png,line
12.png,line
13.png,circle
14.png,line
15.png,line
16.png,line
17.png,line
18.png,circle
19.png,line
20.png,circle
21.png,circle
22.png,circle
23.png,line
24.png,line
25.png,circle
26.png,circle
27.png,line
28.png,circle
29.png,circle
30.png,circle
31.png,line
32.png,circle
33.png,circle
34.png,line
35.png,line
36.png,line
37.png,line
38.png,line
39.png,line
40.png,circle
