file_name,feature1,feature2,feature3
1.png,0.19,0,0.04
10.png,0.08,0,0
11.png,0.06,0.31,0
12.png,0.06,0.38,0
13.png,0.14,0,0.03
14.png,0.06,0.31,0
15.png,0.08,0.12,0.03
16.png,0.06,0.31,0
17.png,0.07,0.44,0
18.png,0.2,0,0.06
19.png,0.07,0.31,0
2.png,0.08,0.44,0
20.png,0.23,0,0.1
21.png,0.2,0,0
22.png,0.17,0,0
23.png,0.06,0.31,0
24.png,0.08,0.44,0
25.png,0.15,0,0.06
26.png,0.17,0,0.06
27.png,0.08,0.44,0.01
28.png,0.16,0,0.05
29.png,0.2,0,0.04
3.png,0.06,0,0
30.png,0.21,0,0.04
31.png,0.09,0.44,0.01
32.png,0.2,0,0.02
33.png,0.2,0,0.08
34.png,0.08,0.38,0.01
35.png,0.08,0.38,0.02
36.png,0.09,0.12,0.04
37.png,0.1,0.56,0.05
38.png,0.09,0.5,0.01
39.png,0.1,0.25,0.03
4.png,0.19,0,0.02
40.png,0.18,0,0.06
5.png,0.06,0.31,0
6.png,0.07,0.38,0
7.png,0.2,0,0.04
8.png,0.06,0.31,0
9.png,0.18,0,0.05
